# Date Range: 20220101-20221231,,,,,,,,,,
# Segments: ,,,,,,,,,,
"# Metrics: ""analytics.totalVisitors, analytics.newVisits, analytics.visits, analytics.bounceRate, analytics.avgPageviews, analytics.avgSessionTime, analytics.transactionsPerVisit, analytics.transactions, analytics.transactionRevenue""",,,,,,,,,,
"# Dimensions: ""analytics.medium, analytics.country""",,,,,,,,,,
# Metric Filters: ,,,,,,,,,,
# Dimension Filters: ,,,,,,,,,,
Medium,Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
cpc,Mexico,171080,153046,246685,0.5009546588,3.161635284,175.8509962,0.0190161542,4691,985838.3299
organic,Czechia,170516,90631,368554,0.201251377,5.115299251,351.2788954,0.008612035143,3174,819506.2114
referral,Netherlands,169039,154653,239276,0.5791554523,1.962992527,166.7741353,0.04748491282,11362,3754622.845
referral,Saudi Arabia,164407,152950,227224,0.560900257,1.733386438,154.3020852,0.0251557934,5716,2125681.736
(none),Mexico,160347,154084,244464,0.4942650043,3.642536324,240.5171518,0.007583938739,1854,579490.2936
cpc,Spain,159950,129943,261791,0.3422730346,4.785317295,193.6767307,0.01405319511,3679,729811.0449
(none),Netherlands,159466,152084,231881,0.4793838219,3.914732126,221.797836,0.006740526391,1563,390105.9408
referral,Turkey,157519,141412,227882,0.6036852406,1.883926769,167.0307703,0.04049464196,9228,1998484.074
referral,Peru,151317,140743,207774,0.5855448709,1.765567395,151.050117,0.02505607054,5206,1400249.053
referral,Japan,147560,135552,226115,0.5524357075,1.903818853,176.9520333,0.04236782168,9580,4425923.997
organic,Ukraine,147460,87620,375822,0.19765208,5.348010494,383.5747774,0.004033824523,1516,335551.6662
(none),Poland,143299,134260,248315,0.4058756016,4.767722449,297.0265469,0.007599218734,1887,328224.0707
referral,Philippines,140263,126061,221380,0.5240039751,1.891693017,235.3257069,0.03436624808,7608,2744413.643
organic,United Kingdom,135547,76261,260651,0.2885045521,4.472731737,300.0547437,0.0133051475,3468,870778.6317
referral,United Arab Emirates,135377,126573,185409,0.6069338597,1.711562006,138.8958788,0.02558128246,4743,2000013.058
(none),Canada,132286,128636,193161,0.5137061829,3.41513556,216.7530195,0.006621419438,1279,514479.4857
(none),Japan,129703,125881,181126,0.6357342403,2.290968718,151.7610503,0.005024126851,910,311364.2051
referral,Switzerland,128875,119733,174453,0.5622030002,1.856173296,161.4156478,0.05030581303,8776,3314886.839
cpc,Italy,128100,105146,204193,0.4007972849,4.400728722,188.1265469,0.02319374317,4736,546241.6002
(none),Brazil,126261,123554,176287,0.5465122215,3.172111387,198.6007533,0.005939178726,1047,298146.7603
referral,Israel,122941,104557,198662,0.484793267,2.08975043,177.6647874,0.03258298014,6473,2394416.093
referral,Greece,120952,107560,190397,0.5759492009,1.953449897,197.2403084,0.06194950551,11795,2297519.19
referral,Thailand,120742,108717,173134,0.5346090312,1.942639805,187.666709,0.06002864833,10393,2758708.358
referral,Belgium,119764,109542,166815,0.5554476516,1.942589096,166.0999311,0.04549950544,7590,1899920.087
referral,South Korea,119083,110892,169501,0.5126164447,1.90536339,165.2937092,0.02808832986,4761,1655989.421
organic,France,116065,54652,229767,0.2155487951,4.891350803,317.8371568,0.01303059186,2994,836402.5719
referral,Czechia,115583,79146,262127,0.4216810935,3.260305119,300.5863112,0.03474270106,9107,2080554.86
(none),Denmark,115475,111346,178687,0.5651502348,2.947987263,193.1893143,0.006637304337,1186,261593.2933
(none),Ireland,114597,111132,158645,0.4776828769,5.408043115,192.702846,0.06927416559,10990,1736604.658
(none),Austria,114450,108921,171558,0.5663623964,2.952243556,185.1960212,0.006318562818,1084,206421.6702
cpc,Ukraine,106737,85036,182523,0.3546785885,4.786624151,209.3324403,0.006448502381,1177,202326.2915
(none),Portugal,106563,99835,177070,0.4836335912,3.739041057,245.4069633,0.007669283334,1358,263597.6362
email,United States,104391,82206,178514,0.6373449701,2.204588996,137.6388855,0.005596199738,999,360138.1954
referral,Argentina,104364,94875,143037,0.5348825828,1.749952809,131.8628676,0.02208519474,3159,1406482.91
referral,Chile,103220,95636,144396,0.5562065431,1.854843624,164.6133272,0.02388570321,3449,1462781.575
organic,Spain,98047,48773,206979,0.202117123,5.027022065,327.7588064,0.01264862619,2618,592305.8599
(not set),United States,95516,55166,181095,0.1917557083,2.040365554,211.9032442,0.01982937132,3591,1492633.58
